PaCMAP2,PaCMAP1
-3.0834498,-0.847042
7.0182114,17.062098
6.7740874,-17.429867
1.6913332,-16.727402
7.0103016,4.287027
3.0621662,18.795559
-4.4417253,7.7133846
0.8846107,9.5995455
2.3542037,-0.12647034
3.2127059,3.587488
-2.5704093,1.4659944
-4.5055532,-3.9163578
2.0372684,-5.5480113
-4.84635,-14.903542
2.5513306,3.8030295
0.088527605,-21.034687
2.2448244,0.5717032
-8.332628,-7.3509026
1.8594419,-2.2696016
2.3830647,4.2136526
5.638377,7.06439
-3.0888007,-10.709077
-3.470446,14.720063
6.0923305,9.685831
-4.1898823,4.5169325
5.737949,17.193848
2.658448,-18.639393
-0.4474482,-11.845262
-2.0634525,14.372037
-4.575088,11.492305
-6.433817,1.2673932
-7.54826,-7.0354595
7.1884356,12.801497
-1.4747887,1.7227471
2.9440203,10.838817
6.524403,16.954428
-0.21750832,9.018053
5.98319,4.283852
-4.601913,-1.6069798
-2.0506442,10.5156145
6.593783,10.64881
3.3662364,7.4280086
4.6402574,12.40676
8.48058,-20.800356
5.0005484,-0.04629068
-3.0951345,-20.972345
-4.9537063,12.8469715
6.769245,9.713759
-0.2645612,-4.539678
6.145658,10.863022
0.0495881,16.663343
-2.7355309,-20.019161
-2.1087546,7.3445272
-1.8646951,18.963257
-0.6822261,16.463099
-4.1813254,14.693306
-2.8469226,15.25018
-2.6296604,-0.27109483
-2.2015178,-19.868246
0.94464564,-2.174613
-2.7364843,12.191631
7.0461717,6.3328104
-3.641953,-4.6421995
-1.5907638,-11.754893
7.3806844,14.561825
-2.2672694,13.379667
-2.425064,-1.0791733
10.078097,-19.587303
10.381732,-19.485888
6.01441,-18.476858
-5.097585,12.568376
-6.4518294,5.8078685
-2.0742416,-8.967276
1.4495659,10.962084
-1.3730173,-0.69638073
5.198999,5.620976
-0.5622907,-6.0247293
2.2609472,2.0699058
-1.8537558,-18.464922
-1.5830213,16.02031
9.04183,-18.24669
1.0390098,2.4899375
-6.6982965,2.8226995
-3.0668786,4.814027
7.5732603,-21.200172
-3.7175963,8.38782
-1.4492975,8.769969
-4.419392,-17.45745
2.8536499,-5.712407
-4.3640466,3.964328
-1.5186378,-0.423365
-4.2155733,-10.747812
-3.7611027,-12.223897
-7.1868215,-11.457117
1.1265358,0.84247905
-8.024348,-7.3777795
9.826942,-21.29532
7.163841,9.453322
4.6896467,12.670167
8.815198,-21.139193
7.44978,9.391667
-4.6570373,15.048092
-6.810822,-14.619324
-0.83354163,15.739979
1.4086951,1.8055251
0.7258753,2.8175557
2.772963,14.707223
1.4509541,10.24251
0.10007132,18.007578
-2.2816665,-8.671548
4.8266144,16.119802
-2.168936,7.8184953
8.302548,-21.791574
0.08655611,18.850899
1.8052962,11.600068
-6.686477,-8.082176
3.0209277,17.388662
2.2808235,13.065505
-6.308653,8.471998
-0.7711167,18.677961
2.0227678,18.660357
-2.0500655,3.1272721
3.1636043,1.3084602
2.4199078,13.283945
5.6392355,-17.931139
-4.747711,5.013261
-4.9575777,-9.832617
1.556696,18.452631
-2.9665253,7.745925
-2.5497296,-1.3600209
1.0008307,-20.749594
2.8909726,12.604669
9.645728,-19.231127
-5.254761,-12.159328
2.957498,1.0938395
-2.711921,18.201464
-0.7735118,-10.715898
-3.851792,-0.633083
-5.7276597,4.882778
3.5038698,-0.6143115
-1.40431,-15.384747
0.06959296,-2.25686
4.280349,18.482727
-0.12236002,-3.9423184
-5.10668,-13.477636
-1.5040754,10.600556
-4.69943,15.239627
-1.9757801,-19.884922
-4.6464987,-10.545791
-2.9637191,-6.7202024
1.9049922,3.504355
0.22205226,0.47174853
-2.4653354,11.376697
-2.1303391,17.814137
0.531853,-17.157347
0.3103776,17.589376
-5.039464,4.115114
5.2345366,15.04111
6.0625925,1.1562434
5.006753,13.265288
3.815445,5.9243
3.3005886,11.3221855
-0.8907263,-15.33243
4.298573,6.8267817
-3.5530834,-10.774847
-3.5673697,-5.1417356
4.24278,17.82848
-1.8593383,-8.130887
3.3421774,12.609379
-3.8332007,1.8594891
-2.880704,2.0850627
4.749389,-19.956331
4.6766577,11.686771
-1.763592,11.602537
6.5952277,-19.013058
-2.9888554,-2.4849064
-0.96047634,-5.5110216
-7.049793,-14.373289
-2.9384453,4.7044563
1.9735612,-19.221241
6.6458487999999996,4.777341
3.3589122,15.36696
-5.963219,5.226399
2.0318708,17.796515
0.88994545,2.0582943
-5.694381,-10.252952
-0.75192237,15.991646
-5.7458873,7.879188
0.39398113,-4.9246726
-3.7887797,-11.919754
-1.5948852,11.203135
3.361377,-21.76537
3.4294124,14.383796
-1.2991294,-4.248489
3.3600547,7.123337
-2.4883208,-4.3711357
-5.085759,2.5966167000000002
1.470509,-3.5592656
-6.044926,-9.998766
3.6629877,7.511321
4.9817076,4.761438
3.5845342,16.90263
-1.116022,11.667967
1.1621015,13.266142
-6.934255,-13.130853
-3.9870558,4.419531
5.490663,1.2707715
0.7729505,-1.4579291
-1.9479554,-6.629432
1.3933421,4.8979874
-4.322335,7.8557787
-6.3664875,2.9157119
4.6715684,-1.0046624
-0.3171882,-5.5286927
-4.4108267,8.236666
4.1368012,-21.149721
0.26413998,3.7438817
6.558932,17.555908
-2.8255844,7.9023485
-2.170359,14.98463
6.10474,5.00776
4.503416,6.5386944
-2.6560774,1.1434718
-6.8237348,4.5604653
-2.752134,16.700275
6.0798516,-23.408842
-1.9533484,5.458723
-7.1465864,-10.189985
-6.247781,-7.082776
0.14796557,-2.2904842
-4.585787,2.0510912
-7.6441407,-6.3711977
-4.154997,-1.9363663
-4.028334,-11.723753
1.6795726,4.9335213
1.5619202,2.2465465
-0.8688113,8.227624
4.295054,4.8246813
-3.7477663,-12.079397
-0.7267177,15.484087
5.346646,12.801177
-7.1132298,2.8548565
-2.1667528,-4.617034
3.6379433,6.2743726
-6.449886,-2.3251386
2.3901722,5.6844134
-3.1293833,15.938378
-7.1314435,-8.889734
-1.6657944,-1.2979797
-4.3982205,-11.746533
3.1741385,12.360297
-3.7273998,8.498995
-3.058834,-4.3618345
-2.22134,17.728954
-2.9673657,-20.841011
-6.7895055,-3.9031994
4.872989,-20.71482
4.8110147,12.036568
-1.4285535,-22.212198
-5.327977,-10.4638605
0.6367452,8.780421
4.082827,18.40224
1.0797036,9.440611
2.9699256,-3.8416593
-0.18924876,-3.9147036
