53467.895606690814,108.54324634869162,2,2,4,4,umap,30,0.3
38135.19369477526,47.420210474816336,3,3,9,6,umap,30,0.3
34633.79775452933,36.98343076576188,4,4,16,9,umap,30,0.3
30967.582358864744,28.161673512489177,5,5,25,10,umap,30,0.3
28436.287259101035,23.303147143276227,6,6,36,16,umap,30,0.3
28138.80401764775,22.632130365682716,7,7,49,15,umap,30,0.3
26928.882415632437,21.07100725280056,8,8,64,20,umap,30,0.3
25615.042578099292,18.768366121244128,9,9,81,22,umap,30,0.3
25242.559370865038,18.264951301128345,10,10,100,28,umap,30,0.3
24669.797268496328,17.424097901981945,11,11,121,30,umap,30,0.3
24105.51887222612,16.46062007154946,12,12,144,35,umap,30,0.3
23498.490932839373,15.623909372787672,13,13,169,36,umap,30,0.3
23148.16907436524,15.162593744490568,14,14,196,43,umap,30,0.3
22776.475586270495,14.55911078477991,15,15,225,46,umap,30,0.3
22110.34026439056,13.942399785154729,16,16,256,52,umap,30,0.3
22075.306140561886,13.741202526595883,17,17,289,55,umap,30,0.3
21703.251151712095,13.23775891160799,18,18,324,63,umap,30,0.3
21533.87194970444,13.148114050363114,19,19,361,64,umap,30,0.3
21460.747808536988,13.071260777105735,20,19,380,66,umap,30,0.3
21124.76403948933,12.684454457994446,21,20,420,72,umap,30,0.3
20948.721207285846,12.547409788842208,22,21,462,72,umap,30,0.3
20785.66540089275,12.211603282391971,23,22,506,82,umap,30,0.3
20531.789898806714,11.98632151893768,24,23,552,90,umap,30,0.3
20306.348535795263,11.658050020454304,25,24,600,97,umap,30,0.3
20149.17559386113,11.495122122748821,26,25,650,100,umap,30,0.3
19961.68993669397,11.328311659163452,27,26,702,110,umap,30,0.3
19734.84783222679,10.987128371461468,28,27,756,122,umap,30,0.3
19720.55136742644,11.010459600633778,29,28,812,124,umap,30,0.3
19381.581639131193,10.589597938083779,30,29,870,132,umap,30,0.3
19332.506646087633,10.596934620623914,31,30,930,139,umap,30,0.3
19205.39111584259,10.472970060410987,32,31,992,142,umap,30,0.3
18995.309242600233,10.223472606434372,33,32,1056,152,umap,30,0.3
18914.471327305775,10.091843465736316,34,33,1122,164,umap,30,0.3
18765.437815630095,10.030228033674353,35,34,1190,167,umap,30,0.3
18645.602795018807,9.865004598155295,36,35,1260,176,umap,30,0.3
18413.86739789194,9.610471741263524,37,36,1332,189,umap,30,0.3
48623.78918732904,82.64208458615416,2,2,4,4,umap,51,0.3
34970.78606851826,36.57625530766072,3,3,9,6,umap,51,0.3
32722.83082416628,31.759635204039977,4,4,16,10,umap,51,0.3
31577.56937631198,28.450116389535822,5,5,25,12,umap,51,0.3
29764.13888704151,25.439969267223276,6,6,36,12,umap,51,0.3
28368.060651597836,23.068687433855448,7,7,49,16,umap,51,0.3
27706.349140029157,22.080828755798915,8,7,56,19,umap,51,0.3
26295.72336877683,19.843488238979077,9,8,72,20,umap,51,0.3
25449.669960448504,18.472778862927978,10,9,90,27,umap,51,0.3
24747.047886739598,17.444087962770517,11,10,110,28,umap,51,0.3
24396.555665652562,17.10294906619437,12,11,132,31,umap,51,0.3
23695.68514108269,15.763895801423326,13,12,156,38,umap,51,0.3
23466.61967231688,15.526364880201571,14,12,168,40,umap,51,0.3
23079.563448249006,14.96226937274468,15,13,195,42,umap,51,0.3
22430.35674207307,14.232816548486078,16,14,224,50,umap,51,0.3
22146.92057833694,14.073206099030743,17,15,255,52,umap,51,0.3
21850.174733342013,13.506698878121991,18,16,288,60,umap,51,0.3
21616.754118795732,13.316538792529215,19,17,323,64,umap,51,0.3
21567.067645781084,13.262602131848451,20,17,340,65,umap,51,0.3
21438.498434440586,12.905000853637112,21,18,378,71,umap,51,0.3
21013.718250120866,12.597556519672537,22,19,418,72,umap,51,0.3
20832.974470951558,12.24627267062294,23,20,460,82,umap,51,0.3
20526.922490609395,11.954637070852089,24,21,504,86,umap,51,0.3
20277.856503040206,11.710267833877007,25,22,550,94,umap,51,0.3
20198.002047466118,11.421987590828488,26,23,598,102,umap,51,0.3
20092.028433110558,11.3378048804483,27,23,621,105,umap,51,0.3
19942.803668154243,11.362912395477112,28,24,672,107,umap,51,0.3
19712.213405082526,11.003647494635636,29,25,725,120,umap,51,0.3
19628.408852035718,10.844206786893864,30,26,780,124,umap,51,0.3
19431.547276731006,10.733690285265116,31,27,837,132,umap,51,0.3
19257.362246508874,10.460844828457232,32,28,896,140,umap,51,0.3
19221.986074333174,10.427776628913708,33,28,924,142,umap,51,0.3
19188.162329522387,10.514665334626622,34,29,986,148,umap,51,0.3
18962.72758335964,10.205016268677078,35,30,1050,158,umap,51,0.3
18781.7404321632,10.007215318887038,36,31,1116,164,umap,51,0.3
18737.458510168835,9.978656593189656,37,32,1184,173,umap,51,0.3
18482.390554447156,9.669963611645459,38,33,1254,185,umap,51,0.3
39548.69764792652,46.0602603028311,2,3,6,5,umap,84,0.3
39790.98875459877,54.07633094863766,3,4,12,6,umap,84,0.3
34890.425486293425,36.79035202465748,4,5,20,8,umap,84,0.3
30670.11956979336,27.22084638372738,5,7,35,10,umap,84,0.3
29585.829261179188,25.254310003536535,6,8,48,13,umap,84,0.3
28508.12149879585,23.686275429877806,7,9,63,14,umap,84,0.3
27148.5377261956,20.868793537584402,8,11,88,18,umap,84,0.3
26638.41593362549,20.233462930896724,9,12,108,20,umap,84,0.3
26909.535318201273,21.082696573939614,10,13,130,20,umap,84,0.3
25082.796170961137,17.74037430193652,11,15,165,28,umap,84,0.3
24449.535814226318,17.293154092153358,12,16,192,30,umap,84,0.3
