4740,11263.033449375831,3.9950241804514475,60,79,0.01,969,92
1240,15849.695299303261,7.052733621037123,31,40,0.02,331,92
588,18112.96835723887,9.132244932991572,21,28,0.03,166,92
336,19600.25019326474,10.724254217223116,16,21,0.04,109,92
238,20669.33745199764,11.974446515073193,14,17,0.05,80,92
180,22002.404056703672,13.59756802863803,12,15,0.060000000000000005,58,92
130,22744.41576528124,14.585706588691556,10,13,0.06999999999999999,46,92
108,23572.143211292598,15.838691293417915,9,12,0.08,40,92
88,24158.460836372586,16.64983131659866,8,11,0.09,35,92
80,25337.33868188088,18.602830681133064,8,10,0.09999999999999999,28,92
63,25788.09368363534,18.84589178366401,7,9,0.11,27,92
56,25825.33605106932,19.16740587036275,7,8,0.12,24,92
48,26686.091131574387,20.274520100051838,6,8,0.13,24,92
35,28518.01015594187,23.530863242458064,5,7,0.17,15,92
4,67545.47671769519,171.0204265231003,2,2,1.54,1,92
6,64265.14707158271,144.29784726621378,2,3,1.1600000000000001,2,92
9,46522.121567199465,67.1916919988982,3,3,0.52,4,92
16,36692.117650909735,41.170166769852806,4,4,0.31,7,92
20,33536.30686589264,33.90094424890858,4,5,0.24000000000000002,10,92
25,32452.898267395616,31.809974608925938,5,5,0.22,11,92
30,28495.327837213248,23.458621176819523,5,6,0.18000000000000002,16,92
4740,9399.069823747392,3.0280082881396857,60,79,0.01,1201,51
1240,14537.85395902843,5.989173946661055,31,40,0.02,439,51
588,16961.59256761189,8.101575520367977,21,28,0.03,224,51
336,18523.72947589214,9.557166407947747,16,21,0.04,140,51
238,19738.08348952585,10.913728611689871,14,17,0.05,102,51
180,20885.883298327288,12.290824729565328,12,15,0.060000000000000005,73,51
130,21525.061927369876,13.054879279269342,10,13,0.06999999999999999,61,51
108,22452.264827663308,14.16324541667761,9,12,0.08,52,51
88,23034.741457175955,14.790515455501025,8,11,0.09,44,51
80,24090.92697476763,16.49673507254217,8,10,0.09999999999999999,34,51
63,24813.362173012836,17.806814156788793,7,9,0.11,33,51
56,25295.40942601753,18.596056644618645,7,8,0.12,28,51
48,25798.301204421277,19.304801231985024,6,8,0.13,27,51
35,27887.43607817478,22.578882950694016,5,7,0.17,19,51
4,67545.47671769519,171.0204265231003,2,2,1.54,1,51
6,67130.31037170139,152.31324886558053,2,3,1.1600000000000001,2,51
9,46010.98513267606,65.38669167557053,3,3,0.52,5,51
16,35364.82514548743,37.37670720114985,4,4,0.31,8,51
20,30802.592034926678,28.13071433494845,4,5,0.24000000000000002,12,51
25,30216.773150156252,26.965694930228963,5,5,0.22,13,51
30,28431.178663260547,23.542166347604986,5,6,0.18000000000000002,18,51
42,26294.483873905578,20.23232781022892,6,7,0.14,24,51
