1240,15467.715947917502,6.86476610862905,31,40,0.02,545,5,0.99
588,17652.38023584599,8.796990994024629,21,28,0.03,265,5,0.99
336,19033.08066276608,10.167776183976613,16,21,0.04,163,5,0.99
238,20003.191997133265,11.275867458418716,14,17,0.05,112,5,0.99
180,20716.395025781716,12.05032423823882,12,15,0.06,87,5,0.99
130,21790.758769852044,13.328255546561186,10,13,0.07,63,5,0.99
108,22328.09044460164,14.168189189717703,9,12,0.08,56,5,0.99
88,22982.671929267988,14.936807090550412,8,11,0.09000000000000001,47,5,0.99
80,24183.572737024795,16.52678558893389,8,10,0.1,39,5,0.99
63,24595.46966584267,17.228952223511254,7,9,0.11,32,5,0.99
56,25290.384084846817,18.136775492191298,7,8,0.12000000000000001,29,5,0.99
48,26406.520913538625,20.08133345800758,6,8,0.13,27,5,0.99
35,28549.07589125683,23.461839915739205,5,7,0.16999999999999998,15,5,0.99
4,67545.47671769519,171.0204265231003,2,2,1.54,1,5,0.99
6,62302.16691005524,152.1779770412433,2,3,1.1600000000000001,2,5,0.99
16,41234.81219718131,48.43647971658421,4,4,0.31,7,5,0.99
20,31868.002398489116,30.870038885592816,4,5,0.24,10,5,0.99
25,31042.349006503024,28.96617886442665,5,5,0.22,11,5,0.99
30,29726.89666136221,25.778192056400467,5,6,0.18,15,5,0.99
2449,14911.944906028955,6.4674587928249885,31,79,0.02,540,5,0.3
1113,16933.64295205801,8.198486214559654,21,53,0.03,278,5,0.3
640,18328.707820829015,9.455879356421699,16,40,0.04,183,5,0.3
462,19305.72813576686,10.516798150861193,14,33,0.05,132,5,0.3
336,20052.90492812838,11.312015393918024,12,28,0.06,100,5,0.3
240,20805.216819868172,12.322618917432088,10,24,0.07,78,5,0.3
189,21735.438818718078,13.403337900251747,9,21,0.08,61,5,0.3
152,22186.65196206725,14.056745482257035,8,19,0.09000000000000001,54,5,0.3
136,23152.081301786846,15.348782104130086,8,17,0.1,45,5,0.3
112,23427.125573688652,15.585533458346294,7,16,0.11,42,5,0.3
105,23706.673923001857,15.760812931542297,7,15,0.12000000000000001,37,5,0.3
84,23947.326721142865,16.261979432023065,6,14,0.13,36,5,0.3
78,25161.870358812725,18.443551279152192,6,13,0.13999999999999999,28,5,0.3
6,59748.814272377705,135.02105612229477,2,3,1.1600000000000001,3,5,0.3
9,51977.070218785404,102.0850322510219,3,3,1.03,4,5,0.3
15,36198.31331544262,39.40527057008409,3,5,0.44,8,5,0.3
18,32724.3840362781,30.764253513670607,3,6,0.39,9,5,0.3
24,30414.633652004315,27.10619088027565,4,6,0.35000000000000003,10,5,0.3
28,29868.22196480891,25.677031124400624,4,7,0.28,14,5,0.3
32,27935.417191096185,22.476670465891047,4,8,0.24,16,5,0.3
45,27164.219981133316,21.32150038912778,5,9,0.21,20,5,0.3
55,26276.31819107787,19.77371041238796,5,11,0.16999999999999998,25,5,0.3
72,25344.205076788414,18.66325421471551,6,12,0.15,28,5,0.3
2449,13622.627054304034,5.572099075615707,31,79,0.02,849,15,0.99
1113,16392.77010568748,7.644776265281303,21,53,0.03,439,15,0.99
640,17970.037663518335,9.175035814038345,16,40,0.04,262,15,0.99
462,18816.733067495185,9.946588324202077,14,33,0.05,184,15,0.99
336,19642.086502614857,10.941021386071453,12,28,0.06,132,15,0.99
240,20308.80029890143,11.648155984479123,10,24,0.07,107,15,0.99
189,20967.64550125256,12.364744101731269,9,21,0.08,86,15,0.99
152,21496.07498379476,13.061875855679858,8,19,0.09000000000000001,73,15,0.99
136,22147.568987316823,13.926321631127395,8,17,0.1,62,15,0.99
112,22736.247197719276,14.691514465144005,7,16,0.11,53,15,0.99
105,23255.730754003605,15.220205036996283,7,15,0.12000000000000001,46,15,0.99
84,23544.758873946226,15.602872821625917,6,14,0.13,39,15,0.99
78,24175.92526122874,16.495036385161626,6,13,0.13999999999999999,39,15,0.99
6,63321.91147265456,150.2882338795049,2,3,1.1600000000000001,2,15,0.99
9,58217.90101726346,126.16393470728956,3,3,1.03,3,15,0.99
15,37733.862804283875,42.82136383739783,3,5,0.44,9,15,0.99
18,32762.731650104764,31.32927437221115,3,6,0.39,11,15,0.99
24,30584.94964299739,27.375468349239174,4,6,0.35000000000000003,12,15,0.99
32,28284.69782279011,22.650479574983553,4,8,0.24,17,15,0.99
50,27342.744428435133,21.9077234550488,5,10,0.19,25,15,0.99
55,25979.441672667912,19.350140724737102,5,11,0.16999999999999998,27,15,0.99
72,24619.12272665353,17.204761453773035,6,12,0.15,37,15,0.99
1240,17332.761614172512,8.576233660439394,31,40,0.02,327,84,0.99
588,19156.998111695855,10.359887551275738,21,28,0.03,171,84,0.99
336,20477.668184965925,11.953641659729163,16,21,0.04,100,84,0.99
238,21400.795838469723,13.08772661141869,14,17,0.05,71,84,0.99
180,22341.11239931538,14.211815679670478,12,15,0.06,56,84,0.99
130,23434.272905877246,15.771010678790402,10,13,0.07,44,84,0.99
108,24032.543788602048,16.562632203934392,9,12,0.08,36,84,0.99
88,24786.96027210484,17.548481699981295,8,11,0.09000000000000001,31,84,0.99
80,25283.73226134314,18.50004912661279,8,10,0.1,27,84,0.99
63,26013.928414826874,19.335618917131402,7,9,0.11,24,84,0.99
56,26280.13548693148,19.845504643818128,7,8,0.12000000000000001,22,84,0.99
48,27034.959840358235,21.08485163020088,6,8,0.13,20,84,0.99
35,30597.911772321924,27.11369636751326,5,7,0.16999999999999998,12,84,0.99
4,67545.47671769519,171.0204265231003,2,2,1.54,1,84,0.99
6,62295.47630915421,151.75476392063842,2,3,1.1600000000000001,2,84,0.99
